MealID,MealName,IngredientName,Quantity,Unit,Category,StoreSection
M01,Protein Oatmeal Bowl,Rolled Oats,50g,g,Pantry,Dry Goods
M01,Protein Oatmeal Bowl,Whey Protein Powder,30g,g,Supplements,Health & Supplements
M01,Protein Oatmeal Bowl,Almond Milk,200ml,ml,Dairy & Alternatives,Dairy & Alternatives
M01,Protein Oatmeal Bowl,Banana,1 piece,piece,Produce,Produce
M02,Avocado Toast with Egg,Whole Wheat Bread,2 slices,slices,Bakery,Bakery
M02,Avocado Toast with Egg,Avocado,1 piece,piece,Produce,Produce
M02,Avocado Toast with Egg,Eggs,2 pieces,pieces,Dairy & Eggs,Dairy & Eggs
M03,Greek Yogurt Parfait,Greek Yogurt,200g,g,Dairy & Eggs,Dairy & Eggs
M03,Greek Yogurt Parfait,Honey,1 tbsp,tbsp,Pantry,Dry Goods
M03,Greek Yogurt Parfait,Mixed Berries,50g,g,Produce,Produce
M03,Greek Yogurt Parfait,Granola,30g,g,Pantry,Dry Goods
M04,Vegan Tofu Scramble,Firm Tofu,200g,g,Produce,Produce
M04,Vegan Tofu Scramble,Spinach,50g,g,Produce,Produce
M04,Vegan Tofu Scramble,Olive Oil,1 tbsp,tbsp,Pantry,Dry Goods
M05,Keto Bacon and Eggs,Bacon,3 slices,slices,Meat,Meat & Seafood
M05,Keto Bacon and Eggs,Eggs,3 pieces,pieces,Dairy & Eggs,Dairy & Eggs
M05,Keto Bacon and Eggs,Butter,10g,g,Dairy & Eggs,Dairy & Eggs
M06,Grilled Chicken Quinoa Salad,Chicken Breast,150g,g,Meat,Meat & Seafood
M06,Grilled Chicken Quinoa Salad,Quinoa,60g,g,Pantry,Dry Goods
M06,Grilled Chicken Quinoa Salad,Cucumber,0.5 piece,piece,Produce,Produce
M06,Grilled Chicken Quinoa Salad,Cherry Tomatoes,50g,g,Produce,Produce
M07,Turkey Salad Wrap,Whole Wheat Tortilla,1 piece,piece,Bakery,Bakery
M07,Turkey Salad Wrap,Sliced Turkey Breast,100g,g,Meat,Meat & Seafood
