Day,Slot,MealName,Calories,Goal,MealID
Monday,Breakfast,Protein Oatmeal Bowl,450,Balanced Healthy Eating,M01
Monday,Lunch,Grilled Chicken Quinoa Salad,550,Balanced Healthy Eating,M06
Monday,Dinner,Baked Salmon with Asparagus,620,Balanced Healthy Eating,M11
Monday,Snack,Whey Protein Shake,200,Balanced Healthy Eating,M16
Tuesday,Breakfast,Avocado Toast with Egg,380,Balanced Healthy Eating,M02
Tuesday,Lunch,Turkey Salad Wrap,410,Balanced Healthy Eating,M07
Tuesday,Dinner,Beef and Broccoli Stir Fry,580,Balanced Healthy Eating,M12
Tuesday,Snack,Mixed Nuts and Berries,250,Balanced Healthy Eating,M17
Wednesday,Breakfast,Greek Yogurt Parfait,320,Balanced Healthy Eating,M03
Wednesday,Lunch,Lentil Soup with Spinach,340,Balanced Healthy Eating,M08
Wednesday,Dinner,Sweet Potato Chickpea Curry,510,Balanced Healthy Eating,M13
Wednesday,Snack,Hummus and Carrot Sticks,180,Balanced Healthy Eating,M18
Thursday,Breakfast,Vegan Tofu Scramble,290,Balanced Healthy Eating,M04
Thursday,Lunch,Brown Rice Tofu Bowl,480,Balanced Healthy Eating,M09
Thursday,Dinner,High Protein Turkey Chili,490,Balanced Healthy Eating,M14
Thursday,Snack,Rice Cakes with Peanut Butter,220,Balanced Healthy Eating,M19
Friday,Breakfast,Keto Bacon and Eggs,420,Balanced Healthy Eating,M05
Friday,Lunch,Low Carb Chicken Lettuce Wraps,310,Balanced Healthy Eating,M10
Friday,Dinner,Zucchini Noodles with Pesto,280,Balanced Healthy Eating,M15
Friday,Snack,Cottage Cheese with Pineapple,160,Balanced Healthy Eating,M20
Saturday,Breakfast,Protein Oatmeal Bowl,450,Balanced Healthy Eating,M01
Saturday,Lunch,Grilled Chicken Quinoa Salad,550,Balanced Healthy Eating,M06
Saturday,Dinner,Baked Salmon with Asparagus,620,Balanced Healthy Eating,M11
Saturday,Snack,Whey Protein Shake,200,Balanced Healthy Eating,M16
